date,1. open,2. high,3. low,4. close,5. volume
2021-03-24 07:00:00,673.0,676.0,671.98,673.0,21027.0
2021-03-24 06:00:00,673.9,675.3,671.98,672.56,22902.0
2021-03-24 05:00:00,664.0,672.5,664.0,672.5,33525.0
2021-03-23 20:00:00,661.3,663.98,660.25,663.0,21231.0
2021-03-23 19:00:00,664.0,664.0,660.15,661.5999,34214.0
2021-03-23 18:00:00,663.5,663.99,662.85,663.99,31486.0
2021-03-23 17:00:00,662.56,664.0,662.13,663.43,149655.0
2021-03-23 16:00:00,661.76,663.06,657.51,662.475,4145355.0
2021-03-23 15:00:00,666.34,670.91,661.41,661.809,3593624.0
2021-03-23 14:00:00,672.2579,674.5,665.83,666.34,2625087.0
2021-03-23 13:00:00,669.41,673.3,665.36,672.36,2802972.0
2021-03-23 12:00:00,671.96,675.18,667.66,669.435,3313258.0
2021-03-23 11:00:00,670.41,677.8,663.43,672.2,6560017.0
2021-03-23 10:00:00,679.503,680.0,665.22,670.7499,4348669.0
2021-03-23 09:00:00,671.9,681.6,670.0,679.8,426024.0
2021-03-23 08:00:00,670.37,676.71,670.01,674.51,138992.0
2021-03-23 07:00:00,669.68,671.0,665.75,670.15,22661.0
2021-03-23 06:00:00,672.5,676.5,667.58,669.84,36857.0
2021-03-23 05:00:00,669.0,673.8,662.0,672.79,54708.0
2021-03-22 20:00:00,667.59,669.75,667.03,669.35,59483.0
2021-03-22 19:00:00,668.35,670.0,667.22,667.22,123335.0
2021-03-22 18:00:00,666.7,670.0,665.0,667.86,239948.0
2021-03-22 17:00:00,670.0,672.1,665.0,666.88,848013.0
2021-03-22 16:00:00,691.48,693.264,668.75,670.0,6157471.0
2021-03-22 15:00:00,694.325,694.5,688.5,691.33,2406753.0
2021-03-22 14:00:00,697.49,697.9899,689.36,694.335,3734226.0
2021-03-22 13:00:00,688.24,699.62,687.64,697.331,5110902.0
2021-03-22 12:00:00,685.09,694.0,685.08,688.385,5457431.0
2021-03-22 11:00:00,680.57,687.579,672.5835,685.09,6700251.0
2021-03-22 10:00:00,679.9,694.42,678.59,680.26,6864452.0
2021-03-22 09:00:00,675.2383,684.96,654.87,679.3143,508396.0
2021-03-22 08:00:00,675.48,684.85,672.99,681.79,426390.0
2021-03-22 07:00:00,673.5,680.0,672.25,677.0,119993.0
2021-03-22 06:00:00,666.0,673.98,664.73,672.9,49624.0
2021-03-22 05:00:00,662.0,666.66,659.0,666.0,85333.0
2021-03-19 20:00:00,652.8,652.8,651.2,652.2,35867.0
2021-03-19 19:00:00,651.3601,652.8,651.3601,652.65,22661.0
2021-03-19 18:00:00,654.54,655.5,651.16,651.5,59299.0
2021-03-19 17:00:00,654.87,655.28,651.55,654.17,1730332.0
2021-03-19 16:00:00,650.9856,657.23,647.6801,654.97,4769154.0
2021-03-19 15:00:00,649.5,655.55,646.0,650.98,3883189.0
2021-03-19 14:00:00,646.8899,653.2,640.3016,649.4,3169380.0
2021-03-19 13:00:00,648.8701,651.8,642.5,646.8899,3005450.0
2021-03-19 12:00:00,650.74,654.28,633.75,648.7038,5949262.0
2021-03-19 11:00:00,638.87,650.95,624.6201,650.76,9544689.0
2021-03-19 10:00:00,656.0,656.0,631.6,638.87,7607193.0
2021-03-19 09:00:00,658.9921,664.5,650.0,656.5,241843.0
2021-03-19 08:00:00,660.15,664.4,650.0,662.0,176990.0
2021-03-19 07:00:00,665.5,665.5,656.31,662.0,45142.0
2021-03-19 06:00:00,667.61,668.3,666.0,666.13,23942.0
2021-03-19 05:00:00,650.0,668.5,650.0,667.22,42901.0
2021-03-18 20:00:00,653.02,654.0,650.5,650.56,101314.0
2021-03-18 19:00:00,655.02,655.55,653.0,653.1,56736.0
2021-03-18 18:00:00,655.0,656.88,654.01,655.01,65763.0
2021-03-18 17:00:00,653.16,657.3,653.16,654.5,537186.0
2021-03-18 16:00:00,666.54,667.4181,652.0,653.3,5985483.0
2021-03-18 15:00:00,670.9,671.6,662.41,666.76,4039775.0
2021-03-18 14:00:00,667.99,674.99,667.9201,671.02,2964224.0
2021-03-18 13:00:00,675.14,680.451,667.32,668.1118,4059564.0
2021-03-18 12:00:00,680.36,684.88,673.29,675.137,3934862.0
2021-03-18 11:00:00,682.83,683.59,672.71,680.74,5243522.0
2021-03-18 10:00:00,681.21,689.23,673.1,682.86,5302275.0
2021-03-18 09:00:00,686.5,687.78,679.0,681.75,274199.0
2021-03-18 08:00:00,685.79,688.0,681.75,683.96,252911.0
2021-03-18 07:00:00,685.9,686.0,682.49,685.89,31717.0
2021-03-18 06:00:00,686.1,687.0,684.7,685.9,25838.0
2021-03-18 05:00:00,687.77,692.79,682.0,686.06,50280.0
2021-03-17 20:00:00,698.81,700.0,698.72,699.74,58084.0
2021-03-17 19:00:00,699.0,699.62,698.72,699.0,35951.0
2021-03-17 18:00:00,698.2,699.0,697.0,699.0,36053.0
2021-03-17 17:00:00,701.78,701.93,697.51,698.2,635314.0
2021-03-17 16:00:00,695.65,703.73,694.0574,701.54,6305411.0
2021-03-17 15:00:00,671.75,696.35,671.73,695.6,9454339.0
2021-03-17 14:00:00,668.81,677.0,667.36,671.28,2457210.0
2021-03-17 13:00:00,667.2089,672.65,663.16,668.55,3433214.0
2021-03-17 12:00:00,674.37,678.75,666.28,667.5,3753473.0
2021-03-17 11:00:00,671.3382,683.795,668.4553,674.21,6895462.0
